epoch,step,train_loss,train_ortho_penalty,train_recon_mse,train_task_mse,train_tau_value,val_loss,val_ortho_penalty,val_recon_mse,val_task_mse,val_tau_value
21,5699,1.0473949909210205,0.0007202774286270142,0.12827876210212708,0.4052809774875641,0.12157687544822693,,,,,
21,5749,1.0034747123718262,0.0012392401695251465,0.12820953130722046,0.36118772625923157,0.12178724259138107,,,,,
21,5799,0.8947573900222778,7.617473602294922e-05,0.11614303290843964,0.3139660656452179,0.12193827331066132,,,,,
21,5829,,,,,,2.5442981719970703,0.00014357268810272217,0.263021320104599,1.229048490524292,0.12202773988246918
22,5849,1.0596709251403809,7.034838199615479e-05,0.14803427457809448,0.3194292187690735,0.12213782966136932,,,,,
22,5899,1.0499452352523804,0.0046652257442474365,0.13693910837173462,0.36058440804481506,0.1222374439239502,,,,,
22,5949,1.0498203039169312,0.0035661160945892334,0.14641660451889038,0.31417107582092285,0.1224735900759697,,,,,
22,5999,0.9361072778701782,0.0009320825338363647,0.12020368874073029,0.3341567814350128,0.12267312407493591,,,,,
22,6049,1.102381944656372,0.0013060644268989563,0.15332473814487457,0.33445224165916443,0.12289360165596008,,,,,
22,6094,,,,,,2.571347951889038,0.0008750408887863159,0.2639579474925995,1.2506831884384155,0.12304972112178802
23,6099,1.036555528640747,0.0011671185493469238,0.13837873935699463,0.3434946835041046,0.12299100309610367,,,,,
23,6149,1.0076708793640137,0.0013282299041748047,0.12859006226062775,0.36339232325553894,0.12314456701278687,,,,,
23,6199,0.94923996925354,0.0005212873220443726,0.12523801624774933,0.32252857089042664,0.1232934296131134,,,,,
23,6249,1.102164626121521,0.0005943030118942261,0.14963020384311676,0.35341939330101013,0.12341900169849396,,,,,
23,6299,1.1190600395202637,5.5596232414245605e-05,0.1611076295375824,0.3134663701057434,0.12356516718864441,,,,,
23,6349,1.0049024820327759,0.000176161527633667,0.1366989016532898,0.32123181223869324,0.12367050349712372,,,,,
23,6359,,,,,,2.5873262882232666,0.0002644956111907959,0.2655809223651886,1.2591569423675537,0.12370195984840393
24,6399,1.1494412422180176,0.001012951135635376,0.16984879970550537,0.29918429255485535,0.12382703274488449,,,,,
24,6449,1.0805811882019043,0.0017164796590805054,0.15566235780715942,0.3005528748035431,0.12395605444908142,,,,,
24,6499,1.03425133228302,0.0007426738739013672,0.1485261768102646,0.2908777892589569,0.12409257143735886,,,,,
24,6549,1.0297794342041016,0.0014256015419960022,0.14309370517730713,0.31288525462150574,0.12417495250701904,,,,,
24,6599,1.1263700723648071,0.0018651708960533142,0.15830646455287933,0.33297258615493774,0.12431536614894867,,,,,
24,6624,,,,,,2.5705792903900146,0.0019240026595070958,0.26475033164024353,1.2449040412902832,0.12442807853221893
25,6649,0.9539670348167419,0.000600770115852356,0.13335207104682922,0.28660598397254944,0.12447170168161392,,,,,
25,6699,1.062589406967163,0.00042857974767684937,0.1419060379266739,0.3526306450366974,0.12461353093385696,,,,,
25,6749,0.9906005263328552,0.0018991827964782715,0.13120047748088837,0.3326989710330963,0.12473327666521072,,,,,
25,6799,1.1787641048431396,0.0009458214044570923,0.17640291154384613,0.2958037257194519,0.1248936653137207,,,,,
25,6849,0.9732710123062134,0.001575574278831482,0.13525307178497314,0.29543009400367737,0.12503349781036377,,,,,
25,6889,,,,,,2.639249563217163,0.0005490928888320923,0.2730814814567566,1.2732926607131958,0.12515415251255035
26,6899,0.9278078675270081,0.0013923197984695435,0.12328720092773438,0.3099795877933502,0.1251642256975174,,,,,
26,6949,1.1331725120544434,0.0030131936073303223,0.1637418270111084,0.3114503026008606,0.12532027065753937,,,,,
26,6999,1.0698891878128052,0.001359492540359497,0.15355636179447174,0.30074793100357056,0.12547674775123596,,,,,
26,7049,1.1369242668151855,0.0008347555994987488,0.17085148394107819,0.28183218836784363,0.12558209896087646,,,,,
26,7099,1.2772873640060425,0.001644223928451538,0.19275754690170288,0.31185537576675415,0.12570947408676147,,,,,
26,7149,1.0819802284240723,0.0010575652122497559,0.1605147421360016,0.27834898233413696,0.1258789747953415,,,,,
26,7154,,,,,,2.6735336780548096,0.0009674727916717529,0.27952972054481506,1.2749173641204834,0.1259024441242218
27,7199,0.976390540599823,0.0029181689023971558,0.12183959037065506,0.36427438259124756,0.1260506957769394,,,,,
27,7249,1.0701440572738647,0.0015197470784187317,0.14595721662044525,0.33883821964263916,0.12619727849960327,,,,,
27,7299,0.9331472516059875,0.0010224059224128723,0.12593373656272888,0.3024561107158661,0.1263052523136139,,,,,
27,7349,0.9344484806060791,0.003395356237888336,0.1273823231458664,0.2941414713859558,0.12641814351081848,,,,,
27,7399,1.062962532043457,0.0005802959203720093,0.145713210105896,0.3338161110877991,0.12656359374523163,,,,,
27,7419,,,,,,2.715294122695923,0.002186363097280264,0.2860160768032074,1.2830276489257812,0.12660251557826996
28,7449,1.081478476524353,0.000573277473449707,0.15655829012393951,0.29811373353004456,0.12664851546287537,,,,,
28,7499,0.9915767908096313,0.0005382224917411804,0.12968562543392181,0.3426104485988617,0.1268315315246582,,,,,
28,7549,1.1902518272399902,0.00010351836681365967,0.1736803501844406,0.3217466473579407,0.126979798078537,,,,,
28,7599,1.2635278701782227,0.00025960057973861694,0.1918926239013672,0.3038051724433899,0.12712524831295013,,,,,
28,7649,1.0409072637557983,0.00021329522132873535,0.1462041437625885,0.3096732795238495,0.1272437423467636,,,,,
28,7684,,,,,,2.769052505493164,0.0007898211479187012,0.2939099371433258,1.2987134456634521,0.12737177312374115
29,7699,1.0324430465698242,0.0018091797828674316,0.14516599476337433,0.30480384826660156,0.12740947306156158,,,,,
29,7749,0.9923719763755798,0.0006719231605529785,0.13756462931632996,0.3038768470287323,0.12754380702972412,,,,,
29,7799,1.2627407312393188,0.0008489936590194702,0.18697509169578552,0.32701626420021057,0.12769870460033417,,,,,
29,7849,1.1476393938064575,0.0005692392587661743,0.1735583245754242,0.2792784869670868,0.1278132051229477,,,,,
29,7899,0.9850773811340332,0.0006654709577560425,0.14127156138420105,0.27805405855178833,0.12801194190979004,,,,,
29,7949,1.4767400026321411,3.492087125778198e-05,0.25187620520591736,0.21732407808303833,0.12813085317611694,,,,,
29,7949,,,,,,2.8157832622528076,0.0005123093724250793,0.30370983481407166,1.2967214584350586,0.12813438475131989
30,7999,1.1459519863128662,0.00119037926197052,0.1662614494562149,0.313454270362854,0.12826816737651825,,,,,
30,8049,1.2162309885025024,0.000905945897102356,0.18272992968559265,0.30167534947395325,0.12840676307678223,,,,,
30,8099,1.0896857976913452,0.0011944323778152466,0.16067446768283844,0.285118967294693,0.12854893505573273,,,,,
30,8149,1.3119707107543945,0.0025944411754608154,0.20554570853710175,0.2816477417945862,0.12868721783161163,,,,,
30,8199,1.186725378036499,0.0020256564021110535,0.175008624792099,0.30965664982795715,0.12885315716266632,,,,,
30,8214,,,,,,2.850092649459839,0.0016673505306243896,0.31066766381263733,1.29508638381958,0.12888076901435852
31,8249,1.1297297477722168,0.0006295815110206604,0.1629883199930191,0.3141585886478424,0.12899324297904968,,,,,
31,8299,1.3488713502883911,0.00016820430755615234,0.1946781724691391,0.3753122389316559,0.12913742661476135,,,,,
31,8349,1.2013752460479736,0.00040605664253234863,0.16768628358840942,0.36253783106803894,0.1292402595281601,,,,,
31,8399,1.2839174270629883,0.0005052685737609863,0.1979650855064392,0.2935866415500641,0.129388228058815,,,,,
31,8449,1.1114566326141357,0.0009139180183410645,0.16182175278663635,0.30143389105796814,0.12954387068748474,,,,,
31,8479,,,,,,2.933403730392456,0.0003799870901275426,0.32837289571762085,1.2911590337753296,0.12963391840457916
32,8499,1.1435120105743408,0.001508764922618866,0.1705690324306488,0.2891581654548645,0.12963512539863586,,,,,
32,8549,1.2774040699005127,5.69075345993042e-05,0.1934811770915985,0.3099413216114044,0.12981237471103668,,,,,
32,8599,1.2050652503967285,0.0012450218200683594,0.17756642401218414,0.31598809361457825,0.12995120882987976,,,,,
32,8649,1.0780043601989746,0.001212097704410553,0.15348687767982483,0.3093579113483429,0.13007967174053192,,,,,
32,8699,1.0424096584320068,0.001398719847202301,0.1511295735836029,0.2853630483150482,0.13023124635219574,,,,,
32,8744,,,,,,3.0105204582214355,0.0009780898690223694,0.3414390981197357,1.3023476600646973,0.1303577721118927
33,8749,1.31966233253479,0.0016184598207473755,0.20170843601226807,0.30950161814689636,0.1303805410861969,,,,,
33,8799,1.256179690361023,0.002004064619541168,0.18607653677463531,0.323792964220047,0.1305379718542099,,,,,
33,8849,1.2021247148513794,0.003167755901813507,0.1838829666376114,0.2795422077178955,0.13066574931144714,,,,,
33,8899,1.3082771301269531,0.000986546277999878,0.20758771896362305,0.2693520188331604,0.13082090020179749,,,,,
33,8949,1.2167538404464722,0.0004927217960357666,0.18222816288471222,0.3051202893257141,0.1309056580066681,,,,,
33,8999,1.2380897998809814,0.0008458942174911499,0.18466007709503174,0.31394344568252563,0.13104094564914703,,,,,
33,9009,,,,,,3.0836029052734375,0.0011084824800491333,0.35525819659233093,1.3062031269073486,0.1310708224773407
34,9049,1.3796159029006958,0.0018260329961776733,0.2110859602689743,0.3223600387573242,0.13120819628238678,,,,,
34,9099,1.3180831670761108,0.0005290508270263672,0.19339391589164734,0.350584477186203,0.13132928311824799,,,,,
34,9149,1.354050636291504,0.001961052417755127,0.2098972201347351,0.30260351300239563,0.13143998384475708,,,,,
34,9199,1.2899538278579712,4.6133995056152344e-05,0.1981307417154312,0.29925405979156494,0.131555438041687,,,,,
34,9249,1.236242413520813,0.0007467418909072876,0.1939266324043274,0.2658625543117523,0.1317058652639389,,,,,
34,9274,,,,,,3.196882963180542,0.0006133168935775757,0.3794884979724884,1.2988266944885254,0.13177968561649323
35,9299,1.202362298965454,0.000535428524017334,0.17830127477645874,0.31032052636146545,0.13181428611278534,,,,,
35,9349,1.247089147567749,0.0006275177001953125,0.1842385232448578,0.3252689838409424,0.13192711770534515,,,,,
35,9399,1.4179911613464355,0.0022664517164230347,0.2177109718322754,0.3271699547767639,0.13208898901939392,,,,,
35,9449,1.4107471704483032,0.0012258514761924744,0.21508780121803284,0.33408230543136597,0.13221347332000732,,,,,
35,9499,1.4465055465698242,0.002050049602985382,0.23004132509231567,0.29424893856048584,0.13233798742294312,,,,,
35,9539,,,,,,3.296633720397949,0.0014511644840240479,0.3997765779495239,1.2963000535964966,0.13240084052085876
36,9549,1.172633171081543,0.0008368790149688721,0.17774450778961182,0.2830737829208374,0.13242335617542267,,,,,
36,9599,1.550241470336914,0.0005760714411735535,0.2516133189201355,0.29159873723983765,0.13255484402179718,,,,,
36,9649,1.490256667137146,0.00032289326190948486,0.23705941438674927,0.3046366572380066,0.13266092538833618,,,,,
36,9699,1.1131584644317627,0.0011611208319664001,0.16204163432121277,0.3017891049385071,0.13283933699131012,,,,,
36,9749,1.4789276123046875,0.0018713027238845825,0.2376718968153,0.2886967360973358,0.13293981552124023,,,,,
36,9799,1.3460034132003784,0.0007027685642242432,0.20861871540546417,0.3022070527076721,0.13304218649864197,,,,,
36,9804,,,,,,3.378412961959839,0.001609519007615745,0.4164501130580902,1.294551968574524,0.13305863738059998
37,9849,1.583489179611206,0.0004702135920524597,0.26486074924468994,0.25871530175209045,0.13320665061473846,,,,,
37,9899,1.3400228023529053,0.0001053735613822937,0.2138122022151947,0.2708563506603241,0.1333259642124176,,,,,
37,9949,1.4918787479400635,0.001552298665046692,0.24628226459026337,0.25891512632369995,0.13340158760547638,,,,,
37,9999,1.394665241241455,0.0017815083265304565,0.22224710881710052,0.2816482484340668,0.13349533081054688,,,,,
37,10049,1.5246143341064453,0.00024156272411346436,0.2483973354101181,0.28238624334335327,0.13363520801067352,,,,,
37,10069,,,,,,3.505437135696411,0.0005449354648590088,0.44245097041130066,1.292636513710022,0.13367970287799835
38,10099,1.743927240371704,0.0019617676734924316,0.29418444633483887,0.27104318141937256,0.1337243765592575,,,,,
38,10149,1.4782854318618774,0.0011956840753555298,0.23878973722457886,0.28314101696014404,0.13386240601539612,,,,,
38,10199,1.7859492301940918,0.00045990943908691406,0.2957775890827179,0.3066013753414154,0.13392864167690277,,,,,
38,10249,1.256777286529541,0.0021012872457504272,0.1920003890991211,0.2946740686893463,0.13403449952602386,,,,,
38,10299,1.5830137729644775,0.0005934834480285645,0.2647418975830078,0.2587108016014099,0.13417887687683105,,,,,
38,10334,,,,,,3.6143853664398193,0.00020925700664520264,0.4597529172897339,1.3154113292694092,0.13426972925662994
39,10349,1.328385591506958,0.0007667690515518188,0.2132241427898407,0.2614980638027191,0.13432911038398743,,,,,
39,10399,1.593787431716919,0.00019869953393936157,0.26406583189964294,0.2732594907283783,0.13443288207054138,,,,,
39,10449,1.7082502841949463,0.0017271637916564941,0.2847159206867218,0.28294363617897034,0.13456469774246216,,,,,
